instant dteday windspeed casual registered
145 2011/5/25 0.15423299999999998 740 4238
146 2011/5/26 0.199642 758 3919
147 2011/5/27 0.240679 871 3808
148 2011/5/28 0.230092 2001 2757
149 2011/5/29 0.213938 2355 2433
150 2011/5/30 0.131225 1549 2549
151 2011/5/31 0.111329 673 3309
152 2011/6/1 0.207092 513 3461
153 2011/6/2 0.292287 736 4232
154 2011/6/3 0.253121 898 4414
155 2011/6/4 0.123142 1869 3473
156 2011/6/5 0.138692 1685 3221
157 2011/6/6 0.121896 673 3875
158 2011/6/7 0.187808 763 4070
159 2011/6/8 0.136817 676 3725
160 2011/6/9 0.149883 563 3352
161 2011/6/10 0.14055399999999998 815 3771
162 2011/6/11 0.15485 1729 3237
163 2011/6/12 0.16356700000000002 1467 2993
164 2011/6/13 0.30535 863 4157
165 2011/6/14 0.269283 727 4164
166 2011/6/15 0.16791199999999998 769 4411
167 2011/6/16 0.206471 545 3222
168 2011/6/17 0.143029 863 3981
169 2011/6/18 0.119408 1807 3312
170 2011/6/19 0.102 1639 3105
171 2011/6/20 0.155475 699 3311
172 2011/6/21 0.171025 774 4061
173 2011/6/22 0.172262 661 3846
174 2011/6/23 0.238804 746 4044
175 2011/6/24 0.222025 969 4022
176 2011/6/25 0.209571 1782 3420
177 2011/6/26 0.0945333 1920 3385
178 2011/6/27 0.10758800000000003 854 3854
179 2011/6/28 0.144283 732 3916
180 2011/6/29 0.261821 848 4377
181 2011/6/30 0.185312 1027 4488
182 2011/7/1 0.102608 1246 4116
183 2011/7/2 0.11506199999999997 2204 2915
184 2011/7/3 0.228858 2282 2367
185 2011/7/4 0.08147919999999999 3065 2978
186 2011/7/5 0.12625799999999998 1031 3634
187 2011/7/6 0.149883 784 3845
188 2011/7/7 0.1592 754 3838
189 2011/7/8 0.225129 692 3348
190 2011/7/9 0.16791199999999998 1988 3348
191 2011/7/10 0.183471 1743 3138
192 2011/7/11 0.282337 723 3363
193 2011/7/12 0.200254 662 3596
194 2011/7/13 0.146133 748 3594
195 2011/7/14 0.240667 888 4196
196 2011/7/15 0.182833 1318 4220
197 2011/7/16 0.208342 2418 3505
198 2011/7/17 0.245033 2006 3296
199 2011/7/18 0.215804 841 3617
200 2011/7/19 0.1306 752 3789
201 2011/7/20 0.113817 644 3688
202 2011/7/21 0.222021 632 3152
203 2011/7/22 0.1331 562 2825
204 2011/7/23 0.131221 987 2298
205 2011/7/24 0.16917100000000002 1050 2556
206 2011/7/25 0.0908083 568 3272
207 2011/7/26 0.200258 750 3840
208 2011/7/27 0.183463 755 3901
209 2011/7/28 0.178479 606 3784
210 2011/7/29 0.174138 670 3176
211 2011/7/30 0.168537 1559 2916
212 2011/7/31 0.16481300000000002 1524 2778
213 2011/8/1 0.156717 729 3537
214 2011/8/2 0.20585 801 4044
215 2011/8/3 0.13558299999999998 467 3107
216 2011/8/4 0.19715 799 3777
217 2011/8/5 0.184696 1023 3843
218 2011/8/6 0.22825 1521 2773
219 2011/8/7 0.201487 1298 2487
220 2011/8/8 0.192175 846 3480
221 2011/8/9 0.151121 907 3695
222 2011/8/10 0.200258 884 3896
223 2011/8/11 0.164796 812 3980
224 2011/8/12 0.125621 1051 3854
225 2011/8/13 0.211454 1504 2646
226 2011/8/14 0.222633 1338 2482
227 2011/8/15 0.208954 775 3563
228 2011/8/16 0.236329 721 4004
229 2011/8/17 0.14366700000000002 668 4026
230 2011/8/18 0.233208 639 3166
231 2011/8/19 0.139308 797 3356
232 2011/8/20 0.104467 1914 3277
233 2011/8/21 0.248754 1249 2624
234 2011/8/22 0.27675 833 3925
235 2011/8/23 0.146763 1281 4614
236 2011/8/24 0.253108 949 4181
237 2011/8/25 0.210833 435 3107
238 2011/8/26 0.0839625 768 3893
239 2011/8/27 0.375617 226 889
240 2011/8/28 0.304659 1415 2919
241 2011/8/29 0.159825 729 3905
242 2011/8/30 0.12500799999999998 775 4429
243 2011/8/31 0.08333330000000001 688 4370
244 2011/9/1 0.141796 783 4332
245 2011/9/2 0.139929 875 3852
246 2011/9/3 0.185325 1935 2549
247 2011/9/4 0.206467 2521 2419
248 2011/9/5 0.212696 1236 2115
249 2011/9/6 0.343943 204 2506
250 2011/9/7 0.0970208 118 1878
251 2011/9/8 0.192748 153 1689
252 2011/9/9 0.124379 417 3127
253 2011/9/10 0.153608 1750 3595
254 2011/9/11 0.115054 1633 3413
255 2011/9/12 0.088913 690 4023
256 2011/9/13 0.141804 701 4062
257 2011/9/14 0.1673 647 4138
258 2011/9/15 0.271146 428 3231
259 2011/9/16 0.164183 742 4018
260 2011/9/17 0.189675 1434 3077
261 2011/9/18 0.178483 1353 2921
262 2011/9/19 0.15174200000000002 691 3848
263 2011/9/20 0.134954 438 3203
264 2011/9/21 0.0964042 539 3813
265 2011/9/22 0.128125 555 4240
266 2011/9/23 0.0783667 258 2137
267 2011/9/24 0.0783833 1776 3647
268 2011/9/25 0.0503792 1544 3466
269 2011/9/26 0.1107 684 3946
270 2011/9/27 0.118171 477 3643
271 2011/9/28 0.14862899999999998 480 3427
272 2011/9/29 0.17288299999999998 653 4186
273 2011/9/30 0.206475 830 4372
274 2011/10/1 0.292296 480 1949
275 2011/10/2 0.222013 616 2302
276 2011/10/3 0.08334580000000001 330 3240
277 2011/10/4 0.205854 486 3970
278 2011/10/5 0.17725 559 4267
279 2011/10/6 0.134954 639 4126
280 2011/10/7 0.0223917 949 4036
281 2011/10/8 0.0454042 2235 3174
282 2011/10/9 0.06345 2397 3114
283 2011/10/10 0.0423042 1514 3603
284 2011/10/11 0.143042 667 3896
285 2011/10/12 0.24815 217 2199
286 2011/10/13 0.141787 290 2623
287 2011/10/14 0.223883 529 3115
288 2011/10/15 0.258083 1899 3318
289 2011/10/16 0.281717 1748 3293
290 2011/10/17 0.175379 713 3857
291 2011/10/18 0.110087 637 4111
292 2011/10/19 0.243339 254 2170
293 2011/10/20 0.422275 471 3724
294 2011/10/21 0.221396 676 3628
295 2011/10/22 0.0926667 1499 2809
296 2011/10/23 0.0995125 1619 2762
297 2011/10/24 0.118792 699 3488
298 2011/10/25 0.166658 695 3992
299 2011/10/26 0.148642 404 3490
300 2011/10/27 0.197763 240 2419
301 2011/10/28 0.229479 456 3291
302 2011/10/29 0.351371 57 570
303 2011/10/30 0.176617 885 2446
304 2011/10/31 0.10635 362 3307
305 2011/11/1 0.135571 410 3658
306 2011/11/2 0.08209169999999999 370 3816
307 2011/11/3 0.136817 318 3656
308 2011/11/4 0.271779 470 3576
309 2011/11/5 0.189062 1156 2770
310 2011/11/6 0.0920542 952 2697
311 2011/11/7 0.057225 373 3662
312 2011/11/8 0.0690375 376 3829
313 2011/11/9 0.06219580000000001 305 3804
314 2011/11/10 0.189067 190 2743
315 2011/11/11 0.314675 440 2928
316 2011/11/12 0.212062 1275 2792
317 2011/11/13 0.281721 1004 2713
318 2011/11/14 0.306596 595 3891
319 2011/11/15 0.199633 449 3746
320 2011/11/16 0.136829 145 1672
321 2011/11/17 0.305362 139 2914
322 2011/11/18 0.168533 245 3147
323 2011/11/19 0.224496 943 2720
324 2011/11/20 0.18595 787 2733
325 2011/11/21 0.138054 220 2545
326 2011/11/22 0.118792 69 1538
327 2011/11/23 0.335825 112 2454
328 2011/11/24 0.167304 560 935
329 2011/11/25 0.0988958 1095 1697
330 2011/11/26 0.0684208 1249 1819
331 2011/11/27 0.208954 810 2261
332 2011/11/28 0.142122 253 3614
333 2011/11/29 0.258092 96 2818
334 2011/11/30 0.271158 188 3425
335 2011/12/1 0.220158 182 3545
336 2011/12/2 0.100754 268 3672
337 2011/12/3 0.0957833 706 2908
338 2011/12/4 0.08395830000000001 634 2851
339 2011/12/5 0.062208300000000015 233 3578
340 2011/12/6 0.232583 126 2468
341 2011/12/7 0.266175 50 655
342 2011/12/8 0.240058 150 3172
343 2011/12/9 0.08271669999999999 261 3359
344 2011/12/10 0.233221 502 2688
345 2011/12/11 0.0665417 377 2366
346 2011/12/12 0.06345 143 3167
347 2011/12/13 0.14055 155 3368
348 2011/12/14 0.060958300000000014 178 3562
349 2011/12/15 0.268042 181 3528
350 2011/12/16 0.260575 178 3399
351 2011/12/17 0.243167 275 2464
352 2011/12/18 0.169779 220 2211
353 2011/12/19 0.172896 260 3143
354 2011/12/20 0.061570800000000016 216 3534
355 2011/12/21 0.2214 107 2553
356 2011/12/22 0.047275 227 2841
357 2011/12/23 0.274246 163 2046
358 2011/12/24 0.190304 155 856
359 2011/12/25 0.155091 303 451
360 2011/12/26 0.239465 430 887
361 2011/12/27 0.18845 103 1059
362 2011/12/28 0.29396100000000003 255 2047
363 2011/12/29 0.119412 254 2169
364 2011/12/30 0.13433699999999998 491 2508
365 2011/12/31 0.220154 665 1820
366 2012/1/1 0.192167 686 1608
367 2012/1/2 0.329665 244 1707
368 2012/1/3 0.365671 89 2147
369 2012/1/4 0.1847 95 2273
370 2012/1/5 0.129987 140 3132
371 2012/1/6 0.167908 307 3791
372 2012/1/7 0.174758 1070 3451
373 2012/1/8 0.191542 599 2826
374 2012/1/9 0.0989 106 2270
375 2012/1/10 0.187552 173 3425
376 2012/1/11 0.131221 92 2085
377 2012/1/12 0.180967 269 3828
378 2012/1/13 0.378108 174 3040
379 2012/1/14 0.187183 333 2160
380 2012/1/15 0.251258 284 2027
381 2012/1/16 0.231358 217 2081
382 2012/1/17 0.34913 127 2808
383 2012/1/18 0.415429 109 3267
384 2012/1/19 0.220158 130 3162
385 2012/1/20 0.20275 115 3048
386 2012/1/21 0.222642 67 1234
387 2012/1/22 0.199638 196 1781
388 2012/1/23 0.110708 145 2287
389 2012/1/24 0.123767 439 3900
390 2012/1/25 0.161071 467 3803
391 2012/1/26 0.07339580000000001 244 3831
392 2012/1/27 0.342667 269 3187
393 2012/1/28 0.210829 775 3248
394 2012/1/29 0.24005 558 2685
395 2012/1/30 0.215792 126 3498
396 2012/1/31 0.261817 324 4185
397 2012/2/1 0.189067 304 4275
398 2012/2/2 0.187187 190 3571
399 2012/2/3 0.17849600000000002 310 3841
400 2012/2/4 0.121896 384 2448
401 2012/2/5 0.175996 318 2629
402 2012/2/6 0.1538 206 3578
403 2012/2/7 0.147379 199 4176
404 2012/2/8 0.133721 109 2693
405 2012/2/9 0.194037 163 3667
406 2012/2/10 0.116929 227 3604
407 2012/2/11 0.289796 192 1977
408 2012/2/12 0.409212 73 1456
409 2012/2/13 0.167283 94 3328
410 2012/2/14 0.141179 135 3787
411 2012/2/15 0.1816 141 4028
412 2012/2/16 0.091425 74 2931
413 2012/2/17 0.205846 349 3805
414 2012/2/18 0.190929 1435 2883
415 2012/2/19 0.253112 618 2071
416 2012/2/20 0.229083 502 2627
417 2012/2/21 0.205717 163 3614
418 2012/2/22 0.234471 394 4379
419 2012/2/23 0.190913 516 4546
420 2012/2/24 0.237567 246 3241
421 2012/2/25 0.421642 317 2415
422 2012/2/26 0.205229 515 2874
423 2012/2/27 0.268033 253 4069
424 2012/2/28 0.193417 229 4134
425 2012/2/29 0.179117 65 1769
426 2012/3/1 0.226987 325 4665
427 2012/3/2 0.144904 246 2948
428 2012/3/3 0.161079 956 3110
429 2012/3/4 0.334571 710 2713
430 2012/3/5 0.228858 203 3130
431 2012/3/6 0.200875 221 3735
432 2012/3/7 0.345779 432 4484
433 2012/3/8 0.441563 486 4896
434 2012/3/9 0.4148 447 4122
435 2012/3/10 0.22575 968 3150
436 2012/3/11 0.222587 1658 3253
437 2012/3/12 0.207713 838 4460
438 2012/3/13 0.23695 762 5085
439 2012/3/14 0.11506199999999997 997 5315
440 2012/3/15 0.149883 1005 5187
441 2012/3/16 0.113192 548 3830
442 2012/3/17 0.110704 3155 4681
443 2012/3/18 0.126883 2207 3685
444 2012/3/19 0.16231700000000002 982 5171
445 2012/3/20 0.121271 1051 5042
446 2012/3/21 0.08955830000000001 1122 5108
447 2012/3/22 0.117562 1334 5537
448 2012/3/23 0.1163 2469 5893
449 2012/3/24 0.192783 1033 2339
450 2012/3/25 0.220775 1532 3464
451 2012/3/26 0.386821 795 4763
452 2012/3/27 0.187192 531 4571
453 2012/3/28 0.291671 674 5024
454 2012/3/29 0.31965 834 5299
455 2012/3/30 0.138067 796 4663
456 2012/3/31 0.25061700000000003 2301 3934
457 2012/4/1 0.172267 2347 3694
458 2012/4/2 0.312139 1208 4728
459 2012/4/3 0.100133 1348 5424
460 2012/4/4 0.180975 1058 5378
461 2012/4/5 0.219529 1192 5265
462 2012/4/6 0.300388 1807 4653
463 2012/4/7 0.274871 3252 3605
464 2012/4/8 0.232596 2230 2939
465 2012/4/9 0.358196 905 4680
466 2012/4/10 0.249375 819 5099
467 2012/4/11 0.295274 482 4380
468 2012/4/12 0.290429 663 4746
469 2012/4/13 0.155471 1252 5146
470 2012/4/14 0.190917 2795 4665
471 2012/4/15 0.225129 2846 4286
472 2012/4/16 0.284829 1198 5172
473 2012/4/17 0.273629 989 5702
474 2012/4/18 0.16791199999999998 347 4020
475 2012/4/19 0.0659292 846 5719
476 2012/4/20 0.149871 1340 5950
477 2012/4/21 0.283587 2541 4083
478 2012/4/22 0.344546 120 907
479 2012/4/23 0.303496 195 3019
480 2012/4/24 0.249383 518 5115
481 2012/4/25 0.118792 655 5541
482 2012/4/26 0.176625 475 4551
483 2012/4/27 0.347633 1014 5219
484 2012/4/28 0.129975 1120 3100
485 2012/4/29 0.116908 2229 4075
486 2012/4/30 0.171638 665 4907
487 2012/5/1 0.156096 653 5087
488 2012/5/2 0.138058 667 5502
489 2012/5/3 0.133696 764 5657
490 2012/5/4 0.162938 1069 5227
491 2012/5/5 0.15299200000000002 2496 4387
492 2012/5/6 0.14987899999999998 2135 4224
493 2012/5/7 0.230721 1008 5265
494 2012/5/8 0.296029 738 4990
495 2012/5/9 0.216412 620 4097
496 2012/5/10 0.31406300000000004 1026 5546
497 2012/5/11 0.236937 1319 5711
498 2012/5/12 0.123133 2622 4807
499 2012/5/13 0.225117 2172 3946
500 2012/5/14 0.212692 342 2501
501 2012/5/15 0.147392 625 4490
502 2012/5/16 0.122512 991 6433
503 2012/5/17 0.229475 1242 6142
504 2012/5/18 0.136817 1521 6118
505 2012/5/19 0.083975 3410 4884
506 2012/5/20 0.254367 2704 4425
507 2012/5/21 0.233204 630 3729
508 2012/5/22 0.118167 819 5254
509 2012/5/23 0.102 766 4494
510 2012/5/24 0.172896 1059 5711
511 2012/5/25 0.14055 1417 5317
512 2012/5/26 0.198992 2855 3681
513 2012/5/27 0.215171 3283 3308
514 2012/5/28 0.196521 2557 3486
515 2012/5/29 0.2954 880 4863
516 2012/5/30 0.134329 745 6110
517 2012/5/31 0.195279 1100 6238
518 2012/6/1 0.237563 533 3594
519 2012/6/2 0.186562 2795 5325
520 2012/6/3 0.184087 2494 5147
521 2012/6/4 0.284833 1071 5927
522 2012/6/5 0.209575 968 6033
523 2012/6/6 0.077125 1027 6028
524 2012/6/7 0.15735 1038 6456
525 2012/6/8 0.17538299999999998 1488 6248
526 2012/6/9 0.144287 2708 4790
527 2012/6/10 0.133721 2224 4374
528 2012/6/11 0.207713 1017 5647
529 2012/6/12 0.214546 477 4495
530 2012/6/13 0.343279 1173 6248
531 2012/6/14 0.253733 1180 6183
532 2012/6/15 0.176617 1563 6102
533 2012/6/16 0.166667 2963 4739
534 2012/6/17 0.144904 2634 4344
535 2012/6/18 0.174746 653 4446
536 2012/6/19 0.148017 968 5857
537 2012/6/20 0.11381199999999997 872 5339
538 2012/6/21 0.118787 778 5127
539 2012/6/22 0.182842 964 4859
540 2012/6/23 0.179721 2657 4801
541 2012/6/24 0.145525 2551 4340
542 2012/6/25 0.300383 1139 5640
543 2012/6/26 0.347642 1077 6365
544 2012/6/27 0.271775 1077 6258
545 2012/6/28 0.17165 921 5958
546 2012/6/29 0.165417 829 4634
547 2012/6/30 0.161071 1455 4232
548 2012/7/1 0.16852899999999998 1421 4110
549 2012/7/2 0.195267 904 5323
550 2012/7/3 0.126237 1052 5608
551 2012/7/4 0.13495 2562 4841
552 2012/7/5 0.194029 1405 4836
553 2012/7/6 0.146142 1366 4841
554 2012/7/7 0.163554 1448 3392
555 2012/7/8 0.125629 1203 3469
556 2012/7/9 0.180975 998 5571
557 2012/7/10 0.15173699999999998 954 5336
558 2012/7/11 0.15173299999999998 975 6289
559 2012/7/12 0.146775 1032 6414
560 2012/7/13 0.08085 1511 5988
561 2012/7/14 0.143679 2355 4614
562 2012/7/15 0.166667 1920 4111
563 2012/7/16 0.164187 1088 5742
564 2012/7/17 0.114429 921 5865
565 2012/7/18 0.137442 799 4914
566 2012/7/19 0.165429 888 5703
567 2012/7/20 0.208967 747 5123
568 2012/7/21 0.2133 1264 3195
569 2012/7/22 0.0939208 2544 4866
570 2012/7/23 0.138683 1135 5831
571 2012/7/24 0.211454 1140 6452
572 2012/7/25 0.1648 1383 6790
573 2012/7/26 0.28481300000000004 1036 5825
574 2012/7/27 0.15299200000000002 1259 5645
575 2012/7/28 0.15735 2234 4451
576 2012/7/29 0.170396 2153 4444
577 2012/7/30 0.153617 1040 6065
578 2012/7/31 0.165425 968 6248
579 2012/8/1 0.141179 1074 6506
580 2012/8/2 0.129354 983 6278
581 2012/8/3 0.215792 1328 5847
582 2012/8/4 0.257458 2345 4479
583 2012/8/5 0.290421 1707 3757
584 2012/8/6 0.129354 1233 5780
585 2012/8/7 0.116908 1278 5995
586 2012/8/8 0.1107 1263 6271
587 2012/8/9 0.1561 1196 6090
588 2012/8/10 0.238813 1065 4721
589 2012/8/11 0.206479 2247 4052
590 2012/8/12 0.122512 2182 4362
591 2012/8/13 0.136212 1207 5676
592 2012/8/14 0.169158 1128 5656
593 2012/8/15 0.169771 1198 6149
594 2012/8/16 0.141796 1338 6267
595 2012/8/17 0.231354 1483 5665
596 2012/8/18 0.177867 2827 5038
597 2012/8/19 0.08645 1208 3341
598 2012/8/20 0.12997899999999998 1026 5504
599 2012/8/21 0.07277080000000001 1081 5925
600 2012/8/22 0.0702833 1094 6281
601 2012/8/23 0.08459580000000001 1363 6402
602 2012/8/24 0.07214580000000001 1325 6257
603 2012/8/25 0.244408 1829 4224
604 2012/8/26 0.228858 1483 3772
605 2012/8/27 0.128733 989 5928
606 2012/8/28 0.190925 935 6105
607 2012/8/29 0.112562 1177 6520
608 2012/8/30 0.0771167 1172 6541
609 2012/8/31 0.168533 1433 5917
610 2012/9/1 0.113187 2352 3788
611 2012/9/2 0.06407080000000001 2613 3197
612 2012/9/3 0.151121 1965 4069
613 2012/9/4 0.236321 867 5997
614 2012/9/5 0.187808 832 6280
615 2012/9/6 0.142421 611 5592
616 2012/9/7 0.171646 1045 6459
617 2012/9/8 0.281104 1557 4419
618 2012/9/9 0.224496 2570 5657
619 2012/9/10 0.258713 1118 6407
620 2012/9/11 0.0920542 1070 6697
621 2012/9/12 0.131846 1050 6820
622 2012/9/13 0.08272080000000001 1054 6750
623 2012/9/14 0.103863 1379 6630
624 2012/9/15 0.247521 3160 5554
625 2012/9/16 0.0901833 2166 5167
626 2012/9/17 0.15174200000000002 1022 5847
627 2012/9/18 0.357587 371 3702
628 2012/9/19 0.215175 788 6803
629 2012/9/20 0.118167 939 6781
630 2012/9/21 0.154229 1250 6917
631 2012/9/22 0.283583 2512 5883
632 2012/9/23 0.223258 2454 5453
633 2012/9/24 0.142404 1001 6435
634 2012/9/25 0.236321 845 6693
635 2012/9/26 0.2444 787 6946
636 2012/9/27 0.13434200000000002 751 6642
637 2012/9/28 0.164179 1045 6370
638 2012/9/29 0.227604 2589 5966
639 2012/9/30 0.134958 2015 4874
640 2012/10/1 0.0908042 763 6015
641 2012/10/2 0.104475 315 4324
642 2012/10/3 0.0665458 728 6844
643 2012/10/4 0.117546 891 6437
644 2012/10/5 0.10635 1516 6640
645 2012/10/6 0.268025 3031 4934
646 2012/10/7 0.14116199999999998 781 2729
647 2012/10/8 0.189679 874 4604
648 2012/10/9 0.1903 601 5791
649 2012/10/10 0.187821 780 6911
650 2012/10/11 0.181596 834 6736
651 2012/10/12 0.235092 1060 6222
652 2012/10/13 0.146142 2252 4857
653 2012/10/14 0.278612 2080 4559
654 2012/10/15 0.296037 760 5115
655 2012/10/16 0.182221 922 6612
656 2012/10/17 0.101371 979 6482
657 2012/10/18 0.236937 1008 6501
658 2012/10/19 0.134954 753 4671
659 2012/10/20 0.117537 2806 5284
660 2012/10/21 0.166054 2132 4692
661 2012/10/22 0.08148330000000001 830 6228
662 2012/10/23 0.0945458 841 6625
663 2012/10/24 0.07277919999999999 795 6898
664 2012/10/25 0.124375 875 6484
665 2012/10/26 0.132467 1182 6262
666 2012/10/27 0.235692 2643 5209
667 2012/10/28 0.398008 998 3461
668 2012/10/29 0.3582 2 20
669 2012/10/30 0.213009 87 1009
670 2012/10/31 0.166667 419 5147
671 2012/11/1 0.157346 466 5520
672 2012/11/2 0.266175 618 5229
673 2012/11/3 0.270529 1029 4109
674 2012/11/4 0.179108 1201 3906
675 2012/11/5 0.236325 378 4881
676 2012/11/6 0.173513 466 5220
677 2012/11/7 0.304108 326 4709
678 2012/11/8 0.347835 340 4975
679 2012/11/9 0.214558 709 5283
680 2012/11/10 0.05784580000000001 2090 4446
681 2012/11/11 0.1275 2290 4562
682 2012/11/12 0.173517 1097 5172
683 2012/11/13 0.342046 327 3767
684 2012/11/14 0.199625 373 5122
685 2012/11/15 0.15298699999999998 320 5125
686 2012/11/16 0.171025 484 5214
687 2012/11/17 0.179729 1313 4316
688 2012/11/18 0.227612 922 3747
689 2012/11/19 0.235067 449 5050
690 2012/11/20 0.082725 534 5100
691 2012/11/21 0.103246 615 4531
692 2012/11/22 0.05287080000000001 955 1470
693 2012/11/23 0.148021 1603 2307
694 2012/11/24 0.376871 532 1745
695 2012/11/25 0.1505 309 2115
696 2012/11/26 0.04665 337 4750
697 2012/11/27 0.237562 123 3836
698 2012/11/28 0.210821 198 5062
699 2012/11/29 0.115522 243 5080
700 2012/11/30 0.05847080000000001 362 5306
701 2012/12/1 0.059704199999999985 951 4240
702 2012/12/2 0.124379 892 3757
703 2012/12/3 0.08272080000000001 555 5679
704 2012/12/4 0.174129 551 6055
705 2012/12/5 0.324021 331 5398
706 2012/12/6 0.174754 340 5035
707 2012/12/7 0.1306 349 4659
708 2012/12/8 0.101379 1153 4429
