dteday,windspeed,casual,registered,cnt,Label
2011/5/21,0.12065,2258,3547,5805,Normal
2011/5/22,0.148008,1576,3084,4660,Normal
2011/5/23,0.233842,836,3438,4274,Normal
2011/5/24,0.207092,659,3833,4492,Normal
2011/5/25,0.154233,740,4238,4978,Normal
2011/5/26,0.199642,758,3919,4677,Normal
2011/5/27,0.240679,871,3808,4679,Normal
2011/5/28,0.230092,2001,2757,4758,Normal
2011/5/29,0.213938,2355,2433,4788,Normal
2011/5/30,0.131225,1549,2549,4098,Normal
2011/5/31,0.111329,673,3309,3982,Normal
2011/6/1,0.207092,513,3461,3974,Normal
2011/6/2,0.292287,736,4232,4968,Normal
2011/6/3,0.253121,898,4414,5312,Normal
2011/6/4,0.123142,1869,3473,5342,Normal
2011/6/5,0.138692,1685,3221,4906,Normal
2011/6/6,0.121896,673,3875,4548,Normal
2011/6/7,0.187808,763,4070,4833,Normal
2011/6/8,0.136817,676,3725,4401,Normal
2011/6/9,0.149883,563,3352,3915,Normal
2011/6/10,0.140554,815,3771,4586,Normal
2011/6/11,0.15485,1729,3237,4966,Normal
2011/6/12,0.163567,1467,2993,4460,Normal
2011/6/13,0.30535,863,4157,5020,Little
2011/6/14,0.269283,727,4164,4891,Normal
2011/6/15,0.167912,769,4411,5180,Normal
2011/6/16,0.206471,545,3222,3767,Normal
2011/6/17,0.143029,863,3981,4844,Normal
2011/6/18,0.119408,1807,3312,5119,Normal
2011/6/19,0.102,1639,3105,4744,Normal
2011/6/20,0.155475,699,3311,4010,Normal
2011/6/21,0.171025,774,4061,4835,Normal
2011/6/22,0.172262,661,3846,4507,Normal
2011/6/23,0.238804,746,4044,4790,Normal
2011/6/24,0.222025,969,4022,4991,Normal
2011/6/25,0.209571,1782,3420,5202,Normal
2011/6/26,0.09453330000000001,1920,3385,5305,Normal
2011/6/27,0.107588,854,3854,4708,Normal
2011/6/28,0.144283,732,3916,4648,Normal
2011/6/29,0.261821,848,4377,5225,Normal
2011/6/30,0.185312,1027,4488,5515,Normal
2011/7/1,0.102608,1246,4116,5362,Normal
2011/7/2,0.115062,2204,2915,5119,Normal
2011/7/3,0.228858,2282,2367,4649,Normal
2011/7/4,0.08147919999999999,3065,2978,6043,Normal
2011/7/5,0.126258,1031,3634,4665,Normal
2011/7/6,0.149883,784,3845,4629,Normal
2011/7/7,0.1592,754,3838,4592,Normal
2011/7/8,0.225129,692,3348,4040,Normal
2011/7/9,0.167912,1988,3348,5336,Normal
2011/7/10,0.183471,1743,3138,4881,Normal
2011/7/11,0.282337,723,3363,4086,Normal
2011/7/12,0.200254,662,3596,4258,Normal
2011/7/13,0.146133,748,3594,4342,Normal
2011/7/14,0.240667,888,4196,5084,Normal
2011/7/15,0.182833,1318,4220,5538,Normal
2011/7/16,0.208342,2418,3505,5923,Normal
2011/7/17,0.245033,2006,3296,5302,Normal
2011/7/18,0.215804,841,3617,4458,Normal
2011/7/19,0.1306,752,3789,4541,Normal
2011/7/20,0.113817,644,3688,4332,Normal
2011/7/21,0.222021,632,3152,3784,Normal
2011/7/22,0.1331,562,2825,3387,Normal
2011/7/23,0.131221,987,2298,3285,Normal
2011/7/24,0.169171,1050,2556,3606,Normal
2011/7/25,0.09080830000000001,568,3272,3840,Normal
2011/7/26,0.200258,750,3840,4590,Normal
2011/7/27,0.183463,755,3901,4656,Normal
2011/7/28,0.178479,606,3784,4390,Normal
2011/7/29,0.174138,670,3176,3846,Normal
2011/7/30,0.168537,1559,2916,4475,Normal
2011/7/31,0.164813,1524,2778,4302,Normal
2011/8/1,0.156717,729,3537,4266,Normal
2011/8/2,0.20585,801,4044,4845,Normal
2011/8/3,0.135583,467,3107,3574,Normal
2011/8/4,0.19715,799,3777,4576,Normal
2011/8/5,0.184696,1023,3843,4866,Normal
2011/8/6,0.22825,1521,2773,4294,Normal
2011/8/7,0.201487,1298,2487,3785,Normal
2011/8/8,0.192175,846,3480,4326,Normal
2011/8/9,0.151121,907,3695,4602,Normal
2011/8/10,0.200258,884,3896,4780,Normal
2011/8/11,0.164796,812,3980,4792,Normal
2011/8/12,0.125621,1051,3854,4905,Normal
2011/8/13,0.211454,1504,2646,4150,Normal
2011/8/14,0.222633,1338,2482,3820,Normal
2011/8/15,0.208954,775,3563,4338,Normal
2011/8/16,0.236329,721,4004,4725,Normal
2011/8/17,0.143667,668,4026,4694,Normal
2011/8/18,0.233208,639,3166,3805,Normal
2011/8/19,0.139308,797,3356,4153,Normal
2011/8/20,0.104467,1914,3277,5191,Normal
2011/8/21,0.248754,1249,2624,3873,Normal
2011/8/22,0.27675,833,3925,4758,Normal
2011/8/23,0.146763,1281,4614,5895,Normal
2011/8/24,0.253108,949,4181,5130,Normal
2011/8/25,0.210833,435,3107,3542,Normal
2011/8/26,0.0839625,768,3893,4661,Normal
2011/8/27,0.375617,226,889,1115,Big
2011/8/28,0.304659,1415,2919,4334,Little
2011/8/29,0.159825,729,3905,4634,Normal
2011/8/30,0.125008,775,4429,5204,Normal
2011/8/31,0.08333330000000001,688,4370,5058,Normal
2011/9/1,0.141796,783,4332,5115,Normal
2011/9/2,0.139929,875,3852,4727,Normal
2011/9/3,0.185325,1935,2549,4484,Normal
2011/9/4,0.206467,2521,2419,4940,Normal
2011/9/5,0.212696,1236,2115,3351,Normal
2011/9/6,0.343943,204,2506,2710,Little
2011/9/7,0.0970208,118,1878,1996,Normal
2011/9/8,0.192748,153,1689,1842,Normal
2011/9/9,0.124379,417,3127,3544,Normal
2011/9/10,0.153608,1750,3595,5345,Normal
2011/9/11,0.115054,1633,3413,5046,Normal
2011/9/12,0.088913,690,4023,4713,Normal
2011/9/13,0.141804,701,4062,4763,Normal
2011/9/14,0.1673,647,4138,4785,Normal
2011/9/15,0.271146,428,3231,3659,Normal
2011/9/16,0.164183,742,4018,4760,Normal
2011/9/17,0.189675,1434,3077,4511,Normal
2011/9/18,0.178483,1353,2921,4274,Normal
2011/9/19,0.151742,691,3848,4539,Normal
2011/9/20,0.134954,438,3203,3641,Normal
2011/9/21,0.0964042,539,3813,4352,Normal
2011/9/22,0.128125,555,4240,4795,Normal
2011/9/23,0.0783667,258,2137,2395,Normal
2011/9/24,0.0783833,1776,3647,5423,Normal
2011/9/25,0.0503792,1544,3466,5010,Normal
2011/9/26,0.1107,684,3946,4630,Normal
2011/9/27,0.118171,477,3643,4120,Normal
2011/9/28,0.148629,480,3427,3907,Normal
2011/9/29,0.172883,653,4186,4839,Normal
2011/9/30,0.206475,830,4372,5202,Normal
2011/10/1,0.292296,480,1949,2429,Normal
2011/10/2,0.222013,616,2302,2918,Normal
2011/10/3,0.08334580000000001,330,3240,3570,Normal
2011/10/4,0.205854,486,3970,4456,Normal
2011/10/5,0.17725,559,4267,4826,Normal
2011/10/6,0.134954,639,4126,4765,Normal
2011/10/7,0.0223917,949,4036,4985,Normal
2011/10/8,0.0454042,2235,3174,5409,Normal
2011/10/9,0.06345,2397,3114,5511,Normal
2011/10/10,0.0423042,1514,3603,5117,Normal
2011/10/11,0.143042,667,3896,4563,Normal
2011/10/12,0.24815,217,2199,2416,Normal
2011/10/13,0.141787,290,2623,2913,Normal
2011/10/14,0.223883,529,3115,3644,Normal
2011/10/15,0.258083,1899,3318,5217,Normal
2011/10/16,0.281717,1748,3293,5041,Normal
2011/10/17,0.175379,713,3857,4570,Normal
2011/10/18,0.110087,637,4111,4748,Normal
2011/10/19,0.243339,254,2170,2424,Normal
2011/10/20,0.422275,471,3724,4195,Strong
2011/10/21,0.221396,676,3628,4304,Normal
2011/10/22,0.09266669999999999,1499,2809,4308,Normal
2011/10/23,0.0995125,1619,2762,4381,Normal
2011/10/24,0.118792,699,3488,4187,Normal
2011/10/25,0.166658,695,3992,4687,Normal
2011/10/26,0.148642,404,3490,3894,Normal
2011/10/27,0.197763,240,2419,2659,Normal
2011/10/28,0.229479,456,3291,3747,Normal
2011/10/29,0.351371,57,570,627,Big
2011/10/30,0.176617,885,2446,3331,Normal
2011/10/31,0.10635,362,3307,3669,Normal
2011/11/1,0.135571,410,3658,4068,Normal
2011/11/2,0.08209169999999999,370,3816,4186,Normal
2011/11/3,0.136817,318,3656,3974,Normal
2011/11/4,0.271779,470,3576,4046,Normal
2011/11/5,0.189062,1156,2770,3926,Normal
2011/11/6,0.09205419999999999,952,2697,3649,Normal
2011/11/7,0.057225,373,3662,4035,Normal
2011/11/8,0.0690375,376,3829,4205,Normal
2011/11/9,0.06219580000000001,305,3804,4109,Normal
2011/11/10,0.189067,190,2743,2933,Normal
2011/11/11,0.314675,440,2928,3368,Little
2011/11/12,0.212062,1275,2792,4067,Normal
2011/11/13,0.281721,1004,2713,3717,Normal
2011/11/14,0.306596,595,3891,4486,Little
2011/11/15,0.199633,449,3746,4195,Normal
2011/11/16,0.136829,145,1672,1817,Normal
2011/11/17,0.305362,139,2914,3053,Little
2011/11/18,0.168533,245,3147,3392,Normal
2011/11/19,0.224496,943,2720,3663,Normal
2011/11/20,0.18595,787,2733,3520,Normal
2011/11/21,0.138054,220,2545,2765,Normal
2011/11/22,0.118792,69,1538,1607,Normal
2011/11/23,0.335825,112,2454,2566,Little
2011/11/24,0.167304,560,935,1495,Normal
2011/11/25,0.0988958,1095,1697,2792,Normal
2011/11/26,0.0684208,1249,1819,3068,Normal
2011/11/27,0.208954,810,2261,3071,Normal
2011/11/28,0.142122,253,3614,3867,Normal
2011/11/29,0.258092,96,2818,2914,Normal
2011/11/30,0.271158,188,3425,3613,Normal
2011/12/1,0.220158,182,3545,3727,Normal
2011/12/2,0.100754,268,3672,3940,Normal
2011/12/3,0.0957833,706,2908,3614,Normal
2011/12/4,0.08395830000000001,634,2851,3485,Normal
2011/12/5,0.06220830000000001,233,3578,3811,Normal
2011/12/6,0.232583,126,2468,2594,Normal
2011/12/7,0.266175,50,655,705,Normal
2011/12/8,0.240058,150,3172,3322,Normal
2011/12/9,0.08271669999999999,261,3359,3620,Normal
2011/12/10,0.233221,502,2688,3190,Normal
2011/12/11,0.0665417,377,2366,2743,Normal
2011/12/12,0.06345,143,3167,3310,Normal
2011/12/13,0.14055,155,3368,3523,Normal
2011/12/14,0.06095830000000001,178,3562,3740,Normal
2011/12/15,0.268042,181,3528,3709,Normal
2011/12/16,0.260575,178,3399,3577,Normal
2011/12/17,0.243167,275,2464,2739,Normal
2011/12/18,0.169779,220,2211,2431,Normal
2011/12/19,0.172896,260,3143,3403,Normal
2011/12/20,0.06157080000000002,216,3534,3750,Normal
2011/12/21,0.2214,107,2553,2660,Normal
2011/12/22,0.047275,227,2841,3068,Normal
2011/12/23,0.274246,163,2046,2209,Normal
2011/12/24,0.190304,155,856,1011,Normal
2011/12/25,0.155091,303,451,754,Normal
2011/12/26,0.239465,430,887,1317,Normal
2011/12/27,0.18845,103,1059,1162,Normal
2011/12/28,0.293961,255,2047,2302,Normal
2011/12/29,0.119412,254,2169,2423,Normal
2011/12/30,0.134337,491,2508,2999,Normal
2011/12/31,0.220154,665,1820,2485,Normal
2012/1/1,0.192167,686,1608,2294,Normal
2012/1/2,0.329665,244,1707,1951,Little
2012/1/3,0.365671,89,2147,2236,Big
2012/1/4,0.1847,95,2273,2368,Normal
2012/1/5,0.129987,140,3132,3272,Normal
2012/1/6,0.167908,307,3791,4098,Normal
2012/1/7,0.174758,1070,3451,4521,Normal
2012/1/8,0.191542,599,2826,3425,Normal
2012/1/9,0.0989,106,2270,2376,Normal
2012/1/10,0.187552,173,3425,3598,Normal
2012/1/11,0.131221,92,2085,2177,Normal
2012/1/12,0.180967,269,3828,4097,Normal
2012/1/13,0.378108,174,3040,3214,Big
2012/1/14,0.187183,333,2160,2493,Normal
2012/1/15,0.251258,284,2027,2311,Normal
2012/1/16,0.231358,217,2081,2298,Normal
2012/1/17,0.34913,127,2808,2935,Little
2012/1/18,0.415429,109,3267,3376,Strong
2012/1/19,0.220158,130,3162,3292,Normal
2012/1/20,0.20275,115,3048,3163,Normal
2012/1/21,0.222642,67,1234,1301,Normal
2012/1/22,0.199638,196,1781,1977,Normal
2012/1/23,0.110708,145,2287,2432,Normal
2012/1/24,0.123767,439,3900,4339,Normal
2012/1/25,0.161071,467,3803,4270,Normal
2012/1/26,0.07339580000000001,244,3831,4075,Normal
2012/1/27,0.342667,269,3187,3456,Little
2012/1/28,0.210829,775,3248,4023,Normal
2012/1/29,0.24005,558,2685,3243,Normal
2012/1/30,0.215792,126,3498,3624,Normal
2012/1/31,0.261817,324,4185,4509,Normal
2012/2/1,0.189067,304,4275,4579,Normal
2012/2/2,0.187187,190,3571,3761,Normal
2012/2/3,0.178496,310,3841,4151,Normal
2012/2/4,0.121896,384,2448,2832,Normal
2012/2/5,0.175996,318,2629,2947,Normal
2012/2/6,0.1538,206,3578,3784,Normal
2012/2/7,0.147379,199,4176,4375,Normal
2012/2/8,0.133721,109,2693,2802,Normal
2012/2/9,0.194037,163,3667,3830,Normal
2012/2/10,0.116929,227,3604,3831,Normal
2012/2/11,0.289796,192,1977,2169,Normal
2012/2/12,0.409212,73,1456,1529,Strong
2012/2/13,0.167283,94,3328,3422,Normal
2012/2/14,0.141179,135,3787,3922,Normal
2012/2/15,0.1816,141,4028,4169,Normal
2012/2/16,0.091425,74,2931,3005,Normal
2012/2/17,0.205846,349,3805,4154,Normal
2012/2/18,0.190929,1435,2883,4318,Normal
2012/2/19,0.253112,618,2071,2689,Normal
2012/2/20,0.229083,502,2627,3129,Normal
2012/2/21,0.205717,163,3614,3777,Normal
2012/2/22,0.234471,394,4379,4773,Normal
2012/2/23,0.190913,516,4546,5062,Normal
2012/2/24,0.237567,246,3241,3487,Normal
2012/2/25,0.421642,317,2415,2732,Strong
2012/2/26,0.205229,515,2874,3389,Normal
2012/2/27,0.268033,253,4069,4322,Normal
2012/2/28,0.193417,229,4134,4363,Normal
2012/2/29,0.179117,65,1769,1834,Normal
2012/3/1,0.226987,325,4665,4990,Normal
2012/3/2,0.144904,246,2948,3194,Normal
2012/3/3,0.161079,956,3110,4066,Normal
2012/3/4,0.334571,710,2713,3423,Little
2012/3/5,0.228858,203,3130,3333,Normal
2012/3/6,0.200875,221,3735,3956,Normal
2012/3/7,0.345779,432,4484,4916,Little
2012/3/8,0.441563,486,4896,5382,Strong
2012/3/9,0.4148,447,4122,4569,Strong
2012/3/10,0.22575,968,3150,4118,Normal
2012/3/11,0.222587,1658,3253,4911,Normal
2012/3/12,0.207713,838,4460,5298,Normal
2012/3/13,0.23695,762,5085,5847,Normal
2012/3/14,0.115062,997,5315,6312,Normal
2012/3/15,0.149883,1005,5187,6192,Normal
2012/3/16,0.113192,548,3830,4378,Normal
2012/3/17,0.110704,3155,4681,7836,Normal
2012/3/18,0.126883,2207,3685,5892,Normal
2012/3/19,0.162317,982,5171,6153,Normal
2012/3/20,0.121271,1051,5042,6093,Normal
2012/3/21,0.08955830000000001,1122,5108,6230,Normal
2012/3/22,0.117562,1334,5537,6871,Normal
2012/3/23,0.1163,2469,5893,8362,Normal
2012/3/24,0.192783,1033,2339,3372,Normal
2012/3/25,0.220775,1532,3464,4996,Normal
2012/3/26,0.386821,795,4763,5558,Big
2012/3/27,0.187192,531,4571,5102,Normal
2012/3/28,0.291671,674,5024,5698,Normal
2012/3/29,0.31965,834,5299,6133,Little
2012/3/30,0.138067,796,4663,5459,Normal
2012/3/31,0.250617,2301,3934,6235,Normal
2012/4/1,0.172267,2347,3694,6041,Normal
2012/4/2,0.312139,1208,4728,5936,Little
2012/4/3,0.100133,1348,5424,6772,Normal
2012/4/4,0.180975,1058,5378,6436,Normal
2012/4/5,0.219529,1192,5265,6457,Normal
2012/4/6,0.300388,1807,4653,6460,Little
2012/4/7,0.274871,3252,3605,6857,Normal
2012/4/8,0.232596,2230,2939,5169,Normal
2012/4/9,0.358196,905,4680,5585,Big
2012/4/10,0.249375,819,5099,5918,Normal
2012/4/11,0.295274,482,4380,4862,Normal
2012/4/12,0.290429,663,4746,5409,Normal
2012/4/13,0.155471,1252,5146,6398,Normal
2012/4/14,0.190917,2795,4665,7460,Normal
2012/4/15,0.225129,2846,4286,7132,Normal
2012/4/16,0.284829,1198,5172,6370,Normal
2012/4/17,0.273629,989,5702,6691,Normal
2012/4/18,0.167912,347,4020,4367,Normal
2012/4/19,0.0659292,846,5719,6565,Normal
2012/4/20,0.149871,1340,5950,7290,Normal
2012/4/21,0.283587,2541,4083,6624,Normal
2012/4/22,0.344546,120,907,1027,Little
2012/4/23,0.303496,195,3019,3214,Little
2012/4/24,0.249383,518,5115,5633,Normal
2012/4/25,0.118792,655,5541,6196,Normal
2012/4/26,0.176625,475,4551,5026,Normal
2012/4/27,0.347633,1014,5219,6233,Little
2012/4/28,0.129975,1120,3100,4220,Normal
2012/4/29,0.116908,2229,4075,6304,Normal
2012/4/30,0.171638,665,4907,5572,Normal
2012/5/1,0.156096,653,5087,5740,Normal
2012/5/2,0.138058,667,5502,6169,Normal
2012/5/3,0.133696,764,5657,6421,Normal
2012/5/4,0.162938,1069,5227,6296,Normal
2012/5/5,0.152992,2496,4387,6883,Normal
2012/5/6,0.149879,2135,4224,6359,Normal
2012/5/7,0.230721,1008,5265,6273,Normal
2012/5/8,0.296029,738,4990,5728,Normal
2012/5/9,0.216412,620,4097,4717,Normal
2012/5/10,0.314063,1026,5546,6572,Little
2012/5/11,0.236937,1319,5711,7030,Normal
2012/5/12,0.123133,2622,4807,7429,Normal
2012/5/13,0.225117,2172,3946,6118,Normal
2012/5/14,0.212692,342,2501,2843,Normal
2012/5/15,0.147392,625,4490,5115,Normal
2012/5/16,0.122512,991,6433,7424,Normal
2012/5/17,0.229475,1242,6142,7384,Normal
2012/5/18,0.136817,1521,6118,7639,Normal
2012/5/19,0.083975,3410,4884,8294,Normal
2012/5/20,0.254367,2704,4425,7129,Normal
2012/5/21,0.233204,630,3729,4359,Normal
2012/5/22,0.118167,819,5254,6073,Normal
2012/5/23,0.102,766,4494,5260,Normal
2012/5/24,0.172896,1059,5711,6770,Normal
2012/5/25,0.14055,1417,5317,6734,Normal
2012/5/26,0.198992,2855,3681,6536,Normal
2012/5/27,0.215171,3283,3308,6591,Normal
2012/5/28,0.196521,2557,3486,6043,Normal
2012/5/29,0.2954,880,4863,5743,Normal
2012/5/30,0.134329,745,6110,6855,Normal
2012/5/31,0.195279,1100,6238,7338,Normal
2012/6/1,0.237563,533,3594,4127,Normal
2012/6/2,0.186562,2795,5325,8120,Normal
2012/6/3,0.184087,2494,5147,7641,Normal
2012/6/4,0.284833,1071,5927,6998,Normal
2012/6/5,0.209575,968,6033,7001,Normal
2012/6/6,0.077125,1027,6028,7055,Normal
2012/6/7,0.15735,1038,6456,7494,Normal
2012/6/8,0.175383,1488,6248,7736,Normal
2012/6/9,0.144287,2708,4790,7498,Normal
2012/6/10,0.133721,2224,4374,6598,Normal
2012/6/11,0.207713,1017,5647,6664,Normal
2012/6/12,0.214546,477,4495,4972,Normal
2012/6/13,0.343279,1173,6248,7421,Little
2012/6/14,0.253733,1180,6183,7363,Normal
2012/6/15,0.176617,1563,6102,7665,Normal
2012/6/16,0.166667,2963,4739,7702,Normal
2012/6/17,0.144904,2634,4344,6978,Normal
2012/6/18,0.174746,653,4446,5099,Normal
2012/6/19,0.148017,968,5857,6825,Normal
2012/6/20,0.113812,872,5339,6211,Normal
2012/6/21,0.118787,778,5127,5905,Normal
2012/6/22,0.182842,964,4859,5823,Normal
2012/6/23,0.179721,2657,4801,7458,Normal
2012/6/24,0.145525,2551,4340,6891,Normal
2012/6/25,0.300383,1139,5640,6779,Little
2012/6/26,0.347642,1077,6365,7442,Little
2012/6/27,0.271775,1077,6258,7335,Normal
2012/6/28,0.17165,921,5958,6879,Normal
2012/6/29,0.165417,829,4634,5463,Normal
2012/6/30,0.161071,1455,4232,5687,Normal
2012/7/1,0.168529,1421,4110,5531,Normal
2012/7/2,0.195267,904,5323,6227,Normal
2012/7/3,0.126237,1052,5608,6660,Normal
2012/7/4,0.13495,2562,4841,7403,Normal
2012/7/5,0.194029,1405,4836,6241,Normal
2012/7/6,0.146142,1366,4841,6207,Normal
2012/7/7,0.163554,1448,3392,4840,Normal
2012/7/8,0.125629,1203,3469,4672,Normal
2012/7/9,0.180975,998,5571,6569,Normal
2012/7/10,0.151737,954,5336,6290,Normal
2012/7/11,0.151733,975,6289,7264,Normal
2012/7/12,0.146775,1032,6414,7446,Normal
2012/7/13,0.08085,1511,5988,7499,Normal
2012/7/14,0.143679,2355,4614,6969,Normal
2012/7/15,0.166667,1920,4111,6031,Normal
2012/7/16,0.164187,1088,5742,6830,Normal
2012/7/17,0.114429,921,5865,6786,Normal
2012/7/18,0.137442,799,4914,5713,Normal
2012/7/19,0.165429,888,5703,6591,Normal
2012/7/20,0.208967,747,5123,5870,Normal
2012/7/21,0.2133,1264,3195,4459,Normal
2012/7/22,0.09392080000000001,2544,4866,7410,Normal
2012/7/23,0.138683,1135,5831,6966,Normal
2012/7/24,0.211454,1140,6452,7592,Normal
2012/7/25,0.1648,1383,6790,8173,Normal
2012/7/26,0.284813,1036,5825,6861,Normal
2012/7/27,0.152992,1259,5645,6904,Normal
2012/7/28,0.15735,2234,4451,6685,Normal
